MESO_,codigo,MES,ANO,PRECIPITACAO
Fora do Estado,12-8,6,05-06,"65,6358"
Fora do Estado,14-8,6,05-06,"98,5833"
Fora do Estado,15-8,6,05-06,"112,5855"
Agreste Pernambucano,20-8,6,05-06,"263,5598"
Fora do Estado,21-8,6,05-06,"296,4043"
Fora do Estado,23-8,6,05-06,"297,1772"
Fora do Estado,24-8,6,05-06,"350,2140"
Fora do Estado,25-8,6,05-06,"370,0420"
Fora do Estado,26-8,6,05-06,"81,6300"
Fora do Estado,1-9,6,05-06,"23,4862"
Fora do Estado,2-9,6,05-06,"19,0693"
São Francisco Pernambucano,3-9,6,05-06,"22,4849"
Fora do Estado,7-9,6,05-06,"45,4126"
Fora do Estado,8-9,6,05-06,"48,2237"
Fora do Estado,11-9,6,05-06,"64,3217"
Fora do Estado,13-9,6,05-06,"87,6379"
Fora do Estado,14-9,6,05-06,"101,6134"
Fora do Estado,15-9,6,05-06,"112,4214"
Fora do Estado,18-9,6,05-06,"198,4317"
Fora do Estado,19-9,6,05-06,"231,5321"
Fora do Estado,20-9,6,05-06,"253,8636"
Fora do Estado,21-9,6,05-06,"272,7514"
Fora do Estado,23-9,6,05-06,"290,5728"
Fora do Estado,24-9,6,05-06,"321,4963"
Fora do Estado,25-9,6,05-06,"282,7567"
Fora do Estado,26-9,6,05-06,"77,1900"
Fora do Estado,3-1,6,05-06,"9,3421"
Sertão Pernambucano,4-1,6,05-06,"13,9490"
Agreste Pernambucano,20-3,6,05-06,"164,2843"
Fora do Estado,19-2,6,05-06,"134,9825"
Fora do Estado,19-3,6,05-06,"140,3689"
Agreste Pernambucano,19-4,6,05-06,"186,3759"
Agreste Pernambucano,19-5,6,05-06,"200,1487"
São Francisco Pernambucano,4-9,6,05-06,"30,9769"
Fora do Estado,5-9,6,05-06,"34,5902"
Fora do Estado,6-9,6,05-06,"42,7069"
Fora do Estado,9-9,6,05-06,"47,9825"
Fora do Estado,10-9,6,05-06,"53,9150"
Agreste Pernambucano,17-7,6,05-06,"145,5398"
Fora do Estado,16-8,6,05-06,"131,2946"
Fora do Estado,16-9,6,05-06,"134,7142"
Agreste Pernambucano,16-7,6,05-06,"125,2552"
Agreste Pernambucano,19-8,6,05-06,"231,2462"
Agreste Pernambucano,18-8,6,05-06,"194,4041"
Agreste Pernambucano,17-8,6,05-06,"161,2525"
Fora do Estado,17-9,6,05-06,"157,1944"
Agreste Pernambucano,18-6,6,05-06,"174,2074"
Agreste Pernambucano,18-7,6,05-06,"173,2633"
Agreste Pernambucano,21-5,6,05-06,"264,9106"
Agreste Pernambucano,21-6,6,05-06,"284,2473"
Agreste Pernambucano,22-6,6,05-06,"328,3802"
Fora do Estado,22-7,6,05-06,"326,3044"
Fora do Estado,22-8,6,05-06,"287,5728"
Fora do Estado,22-9,6,05-06,"245,3005"
Fora do Estado,2-2,6,05-06,"9,4831"
Fora do Estado,1-3,6,05-06,"6,7128"
Sertão Pernambucano,5-3,6,05-06,"34,9665"
Sertão Pernambucano,6-4,6,05-06,"30,2038"
São Francisco Pernambucano,3-6,6,05-06,"21,0552"
São Francisco Pernambucano,6-6,6,05-06,"39,7864"
São Francisco Pernambucano,13-6,6,05-06,"85,3966"
Mata Pernambucana,25-6,6,05-06,"420,9101"
São Francisco Pernambucano,4-7,6,05-06,"32,6647"
São Francisco Pernambucano,2-7,6,05-06,"18,2180"
Fora do Estado,7-7,6,05-06,"37,1773"
São Francisco Pernambucano,12-7,6,05-06,"57,7179"
Fora do Estado,26-7,6,05-06,"416,6338"
São Francisco Pernambucano,13-8,6,05-06,"78,7755"
Fora do Estado,12-9,6,05-06,"74,4969"
Fora do Estado,1-1,7,05-06,"1,8707"
Fora do Estado,2-1,7,05-06,"2,9333"
Fora do Estado,5-1,7,05-06,"6,0372"
Sertão Pernambucano,6-1,7,05-06,"8,7424"
Fora do Estado,7-1,7,05-06,"10,2743"
Fora do Estado,8-1,7,05-06,"11,0159"
Fora do Estado,9-1,7,05-06,"9,0270"
Fora do Estado,10-1,7,05-06,"4,4999"
Fora do Estado,11-1,7,05-06,"5,0499"
Fora do Estado,12-1,7,05-06,"8,2603"
Fora do Estado,13-1,7,05-06,"6,5446"
Fora do Estado,14-1,7,05-06,"20,0541"
Fora do Estado,15-1,7,05-06,"19,3453"
Sertão Pernambucano,16-1,7,05-06,"21,1628"
Sertão Pernambucano,17-1,7,05-06,"15,8935"
Fora do Estado,18-1,7,05-06,"9,3284"
Fora do Estado,19-1,7,05-06,"9,7832"
Fora do Estado,20-1,7,05-06,"9,2591"
Fora do Estado,21-1,7,05-06,"9,7222"
Fora do Estado,22-1,7,05-06,"32,7486"
Fora do Estado,23-1,7,05-06,"41,9334"
Fora do Estado,24-1,7,05-06,"54,2982"
Fora do Estado,25-1,7,05-06,"66,3915"
Fora do Estado,26-1,7,05-06,"97,6028"
Fora do Estado,1-2,7,05-06,"2,2288"
Sertão Pernambucano,3-2,7,05-06,"4,4939"
Sertão Pernambucano,4-2,7,05-06,"10,2666"
Sertão Pernambucano,5-2,7,05-06,"8,8974"
Sertão Pernambucano,6-2,7,05-06,"10,0927"
Sertão Pernambucano,7-2,7,05-06,"9,7430"
Sertão Pernambucano,8-2,7,05-06,"10,3353"
Fora do Estado,9-2,7,05-06,"9,9414"
Fora do Estado,10-2,7,05-06,"4,8689"
Fora do Estado,11-2,7,05-06,"5,4253"
Fora do Estado,12-2,7,05-06,"6,1331"
Fora do Estado,13-2,7,05-06,"6,7814"
Fora do Estado,14-2,7,05-06,"17,7093"
Sertão Pernambucano,15-2,7,05-06,"24,5322"
Sertão Pernambucano,16-2,7,05-06,"22,5787"
Fora do Estado,17-2,7,05-06,"21,2230"
Fora do Estado,18-2,7,05-06,"9,6525"
Fora do Estado,20-2,7,05-06,"9,5491"
Fora do Estado,21-2,7,05-06,"10,0330"
Fora do Estado,22-2,7,05-06,"40,4434"
Fora do Estado,23-2,7,05-06,"47,9378"
Mata Pernambucana,24-2,7,05-06,"58,3090"
Mata Pernambucana,25-2,7,05-06,"70,9463"
Mata Pernambucana,26-2,7,05-06,"102,5289"
Fora do Estado,2-3,7,05-06,"4,5730"
Fora do Estado,3-3,7,05-06,"5,7504"
Sertão Pernambucano,4-3,7,05-06,"6,9816"
Sertão Pernambucano,6-3,7,05-06,"10,3697"
Sertão Pernambucano,7-3,7,05-06,"11,8986"
Sertão Pernambucano,8-3,7,05-06,"12,8615"
Sertão Pernambucano,9-3,7,05-06,"12,6543"
Sertão Pernambucano,10-3,7,05-06,"5,4108"
Sertão Pernambucano,11-3,7,05-06,"5,9477"
Sertão Pernambucano,12-3,7,05-06,"6,7348"
Sertão Pernambucano,13-3,7,05-06,"7,4665"
Sertão Pernambucano,14-3,7,05-06,"22,4618"
Sertão Pernambucano,15-3,7,05-06,"26,5393"
Sertão Pernambucano,16-3,7,05-06,"31,5234"
Fora do Estado,17-3,7,05-06,"32,9780"
Fora do Estado,18-3,7,05-06,"11,2917"
Agreste Pernambucano,21-3,7,05-06,"10,8639"
Agreste Pernambucano,22-3,7,05-06,"51,1999"
Agreste Pernambucano,23-3,7,05-06,"60,9735"
Agreste Pernambucano,24-3,7,05-06,"69,8599"
Mata Pernambucana,25-3,7,05-06,"79,9806"
Metropolitana do Recife,26-3,7,05-06,"108,3731"
Fora do Estado,1-4,7,05-06,"3,8478"
Fora do Estado,2-4,7,05-06,"6,1072"
Fora do Estado,3-4,7,05-06,"7,6070"
Sertão Pernambucano,4-4,7,05-06,"9,2007"
Sertão Pernambucano,5-4,7,05-06,"14,4606"
Sertão Pernambucano,7-4,7,05-06,"13,9305"
São Francisco Pernambucano,8-4,7,05-06,"14,8997"
Sertão Pernambucano,9-4,7,05-06,"15,0294"
Sertão Pernambucano,10-4,7,05-06,"10,7088"
Sertão Pernambucano,11-4,7,05-06,"10,8252"
Sertão Pernambucano,12-4,7,05-06,"12,7658"
Sertão Pernambucano,13-4,7,05-06,"17,5703"
Sertão Pernambucano,14-4,7,05-06,"26,9755"
Sertão Pernambucano,15-4,7,05-06,"31,6482"
Sertão Pernambucano,16-4,7,05-06,"36,2198"
Fora do Estado,17-4,7,05-06,"37,6399"
Fora do Estado,18-4,7,05-06,"46,2212"
Agreste Pernambucano,20-4,7,05-06,"58,5117"
Agreste Pernambucano,21-4,7,05-06,"68,0845"
Agreste Pernambucano,22-4,7,05-06,"72,9587"
Agreste Pernambucano,23-4,7,05-06,"81,4954"
Mata Pernambucana,24-4,7,05-06,"93,5659"
Metropolitana do Recife,25-4,7,05-06,"105,4520"
Fora do Estado,26-4,7,05-06,"121,1897"
Fora do Estado,1-5,7,05-06,"4,6515"
São Francisco Pernambucano,2-5,7,05-06,"7,3165"
São Francisco Pernambucano,3-5,7,05-06,"8,9868"
Sertão Pernambucano,4-5,7,05-06,"10,6391"
São Francisco Pernambucano,5-5,7,05-06,"12,5992"
São Francisco Pernambucano,6-5,7,05-06,"13,9142"
São Francisco Pernambucano,7-5,7,05-06,"18,8574"
São Francisco Pernambucano,8-5,7,05-06,"17,1788"
São Francisco Pernambucano,9-5,7,05-06,"17,7803"
São Francisco Pernambucano,10-5,7,05-06,"12,8660"
São Francisco Pernambucano,11-5,7,05-06,"13,1374"
São Francisco Pernambucano,12-5,7,05-06,"15,4350"
Sertão Pernambucano,13-5,7,05-06,"19,5591"
Sertão Pernambucano,14-5,7,05-06,"27,4870"
Sertão Pernambucano,15-5,7,05-06,"31,9564"
Sertão Pernambucano,16-5,7,05-06,"38,3480"
Sertão Pernambucano,17-5,7,05-06,"45,0604"
Agreste Pernambucano,18-5,7,05-06,"59,4127"
Agreste Pernambucano,20-5,7,05-06,"75,8535"
Agreste Pernambucano,22-5,7,05-06,"88,5297"
Agreste Pernambucano,23-5,7,05-06,"96,9939"
Mata Pernambucana,24-5,7,05-06,"104,5506"
Metropolitana do Recife,25-5,7,05-06,"114,3028"
Fora do Estado,26-5,7,05-06,"127,9904"
São Francisco Pernambucano,1-6,7,05-06,"5,3920"
São Francisco Pernambucano,2-6,7,05-06,"8,1298"
São Francisco Pernambucano,4-6,7,05-06,"11,6552"
São Francisco Pernambucano,5-6,7,05-06,"14,5526"
São Francisco Pernambucano,7-6,7,05-06,"17,8541"
Fora do Estado,8-6,7,05-06,"20,5277"
São Francisco Pernambucano,9-6,7,05-06,"21,2643"
São Francisco Pernambucano,10-6,7,05-06,"16,5710"
São Francisco Pernambucano,11-6,7,05-06,"17,4908"
São Francisco Pernambucano,12-6,7,05-06,"20,4302"
Sertão Pernambucano,14-6,7,05-06,"35,5102"
Sertão Pernambucano,15-6,7,05-06,"41,4322"
Agreste Pernambucano,16-6,7,05-06,"50,9814"
Agreste Pernambucano,17-6,7,05-06,"56,0738"
Agreste Pernambucano,19-6,7,05-06,"82,5647"
Agreste Pernambucano,20-6,7,05-06,"94,7318"
Mata Pernambucana,23-6,7,05-06,"107,6085"
Mata Pernambucana,24-6,7,05-06,"112,9909"
Fora do Estado,26-6,7,05-06,"135,4795"
Fora do Estado,1-7,7,05-06,"5,9277"
São Francisco Pernambucano,3-7,7,05-06,"10,3821"
São Francisco Pernambucano,5-7,7,05-06,"16,6242"
Fora do Estado,6-7,7,05-06,"18,7647"
Fora do Estado,8-7,7,05-06,"24,9068"
Fora do Estado,9-7,7,05-06,"35,0044"
Fora do Estado,10-7,7,05-06,"23,3824"
São Francisco Pernambucano,11-7,7,05-06,"23,7526"
São Francisco Pernambucano,13-7,7,05-06,"33,6183"
Sertão Pernambucano,14-7,7,05-06,"49,2992"
Sertão Pernambucano,15-7,7,05-06,"55,7333"
Agreste Pernambucano,19-7,7,05-06,"102,7699"
Agreste Pernambucano,20-7,7,05-06,"114,5419"
Agreste Pernambucano,21-7,7,05-06,"123,0676"
Mata Pernambucana,23-7,7,05-06,"123,8749"
Fora do Estado,24-7,7,05-06,"124,0177"
Fora do Estado,25-7,7,05-06,"124,6963"
Fora do Estado,1-8,7,05-06,"7,4376"
Fora do Estado,2-8,7,05-06,"10,9389"
São Francisco Pernambucano,3-8,7,05-06,"12,4862"
São Francisco Pernambucano,4-8,7,05-06,"21,0242"
Fora do Estado,5-8,7,05-06,"18,2158"
Fora do Estado,6-8,7,05-06,"17,3828"
Fora do Estado,7-8,7,05-06,"20,1711"
Fora do Estado,8-8,7,05-06,"23,8023"
Fora do Estado,9-8,7,05-06,"28,2546"
Fora do Estado,10-8,7,05-06,"35,8379"
Fora do Estado,11-8,7,05-06,"41,1971"
Fora do Estado,12-8,7,05-06,"51,4002"
Fora do Estado,14-8,7,05-06,"74,4250"
Fora do Estado,15-8,7,05-06,"83,9130"
Agreste Pernambucano,20-8,7,05-06,"130,6108"
Fora do Estado,21-8,7,05-06,"142,4572"
Fora do Estado,23-8,7,05-06,"130,9333"
Fora do Estado,24-8,7,05-06,"134,8352"
Fora do Estado,25-8,7,05-06,"136,2244"
Fora do Estado,26-8,7,05-06,"32,7000"
Fora do Estado,1-9,7,05-06,"103,6715"
Fora do Estado,2-9,7,05-06,"11,9542"
São Francisco Pernambucano,3-9,7,05-06,"13,9195"
Fora do Estado,7-9,7,05-06,"24,0433"
Fora do Estado,8-9,7,05-06,"26,2652"
Fora do Estado,11-9,7,05-06,"49,6580"
Fora do Estado,13-9,7,05-06,"66,9919"
Fora do Estado,14-9,7,05-06,"84,6929"
Fora do Estado,15-9,7,05-06,"93,3261"
Fora do Estado,18-9,7,05-06,"124,0237"
Fora do Estado,19-9,7,05-06,"130,9431"
Fora do Estado,20-9,7,05-06,"140,4706"
Fora do Estado,21-9,7,05-06,"145,6022"
Fora do Estado,23-9,7,05-06,"139,4491"
Fora do Estado,24-9,7,05-06,"140,6056"
Fora do Estado,25-9,7,05-06,"125,7528"
Fora do Estado,26-9,7,05-06,"31,7700"
Fora do Estado,3-1,7,05-06,"12,6580"
Sertão Pernambucano,4-1,7,05-06,"4,9496"
Agreste Pernambucano,20-3,7,05-06,"10,3447"
Fora do Estado,19-2,7,05-06,"10,0714"
Fora do Estado,19-3,7,05-06,"9,8220"
Agreste Pernambucano,19-4,7,05-06,"51,7817"
Agreste Pernambucano,19-5,7,05-06,"68,4606"
São Francisco Pernambucano,4-9,7,05-06,"16,0348"
Fora do Estado,5-9,7,05-06,"16,9295"
Fora do Estado,6-9,7,05-06,"18,6250"
Fora do Estado,9-9,7,05-06,"32,1635"
Fora do Estado,10-9,7,05-06,"42,3721"
Agreste Pernambucano,17-7,7,05-06,"71,8718"
Fora do Estado,16-8,7,05-06,"89,9974"
Fora do Estado,16-9,7,05-06,"101,1948"
Agreste Pernambucano,16-7,7,05-06,"62,4877"
Agreste Pernambucano,19-8,7,05-06,"120,5076"
Agreste Pernambucano,18-8,7,05-06,"112,8736"
Agreste Pernambucano,17-8,7,05-06,"103,7485"
Fora do Estado,17-9,7,05-06,"114,1498"
Agreste Pernambucano,18-6,7,05-06,"74,7309"
Agreste Pernambucano,18-7,7,05-06,"92,9224"
Agreste Pernambucano,21-5,7,05-06,"86,5852"
Agreste Pernambucano,21-6,7,05-06,"109,1882"
Agreste Pernambucano,22-6,7,05-06,"104,3463"
Fora do Estado,22-7,7,05-06,"117,8189"
Fora do Estado,22-8,7,05-06,"140,9614"
Fora do Estado,22-9,7,05-06,"137,9807"
Fora do Estado,2-2,7,05-06,"3,5352"
Fora do Estado,1-3,7,05-06,"2,9062"
Sertão Pernambucano,5-3,7,05-06,"8,3092"
Sertão Pernambucano,6-4,7,05-06,"12,1114"
São Francisco Pernambucano,3-6,7,05-06,"9,8052"
São Francisco Pernambucano,6-6,7,05-06,"16,7705"
São Francisco Pernambucano,13-6,7,05-06,"25,0587"
Mata Pernambucana,25-6,7,05-06,"120,1811"
São Francisco Pernambucano,4-7,7,05-06,"13,9293"
São Francisco Pernambucano,2-7,7,05-06,"10,7927"
Fora do Estado,7-7,7,05-06,"19,9647"
São Francisco Pernambucano,12-7,7,05-06,"27,7552"
Fora do Estado,26-7,7,05-06,"141,5451"
São Francisco Pernambucano,13-8,7,05-06,"55,7138"
Fora do Estado,12-9,7,05-06,"59,7753"
Fora do Estado,1-1,8,05-06,"1,2948"
Fora do Estado,2-1,8,05-06,"1,8732"
Fora do Estado,5-1,8,05-06,"4,4794"
Sertão Pernambucano,6-1,8,05-06,"14,5917"
Fora do Estado,7-1,8,05-06,"14,2581"
Fora do Estado,8-1,8,05-06,"13,4304"
Fora do Estado,9-1,8,05-06,"10,4688"
Fora do Estado,10-1,8,05-06,"11,8415"
Fora do Estado,11-1,8,05-06,"17,0847"
Fora do Estado,12-1,8,05-06,"15,7624"
Fora do Estado,13-1,8,05-06,"17,6872"
Fora do Estado,14-1,8,05-06,"19,4908"
Fora do Estado,15-1,8,05-06,"23,8651"
Sertão Pernambucano,16-1,8,05-06,"27,0454"
Sertão Pernambucano,17-1,8,05-06,"25,4953"
Fora do Estado,18-1,8,05-06,"42,8024"
Fora do Estado,19-1,8,05-06,"49,4829"
Fora do Estado,20-1,8,05-06,"57,7016"
Fora do Estado,21-1,8,05-06,"69,9411"
Fora do Estado,22-1,8,05-06,"94,0553"
Fora do Estado,23-1,8,05-06,"112,6523"
Fora do Estado,24-1,8,05-06,"126,4538"
Fora do Estado,25-1,8,05-06,"133,5600"
Fora do Estado,26-1,8,05-06,"145,7573"
Fora do Estado,1-2,8,05-06,"1,6771"
Sertão Pernambucano,3-2,8,05-06,"3,1129"
Sertão Pernambucano,4-2,8,05-06,"3,9946"
Sertão Pernambucano,5-2,8,05-06,"5,0557"
Sertão Pernambucano,6-2,8,05-06,"6,4995"
Sertão Pernambucano,7-2,8,05-06,"7,9747"
Sertão Pernambucano,8-2,8,05-06,"17,0156"
Fora do Estado,9-2,8,05-06,"15,9787"
Fora do Estado,10-2,8,05-06,"12,3638"
Fora do Estado,11-2,8,05-06,"14,3858"
Fora do Estado,12-2,8,05-06,"16,2463"
Fora do Estado,13-2,8,05-06,"18,1838"
Fora do Estado,14-2,8,05-06,"28,9488"
Sertão Pernambucano,15-2,8,05-06,"21,8375"
Sertão Pernambucano,16-2,8,05-06,"24,9931"
Fora do Estado,17-2,8,05-06,"27,5047"
Fora do Estado,18-2,8,05-06,"45,9328"
Fora do Estado,20-2,8,05-06,"63,0226"
Fora do Estado,21-2,8,05-06,"73,4003"
Fora do Estado,22-2,8,05-06,"98,6438"
Fora do Estado,23-2,8,05-06,"113,8455"
Mata Pernambucana,24-2,8,05-06,"132,3556"
Mata Pernambucana,25-2,8,05-06,"140,0908"
Mata Pernambucana,26-2,8,05-06,"148,5765"
Fora do Estado,2-3,8,05-06,"2,8600"
Fora do Estado,3-3,8,05-06,"3,7630"
Sertão Pernambucano,4-3,8,05-06,"4,6975"
Sertão Pernambucano,6-3,8,05-06,"7,3625"
Sertão Pernambucano,7-3,8,05-06,"8,7924"
Sertão Pernambucano,8-3,8,05-06,"13,4410"
Sertão Pernambucano,9-3,8,05-06,"16,3087"
Sertão Pernambucano,10-3,8,05-06,"16,2879"
Sertão Pernambucano,11-3,8,05-06,"15,1388"
Sertão Pernambucano,12-3,8,05-06,"19,5428"
Sertão Pernambucano,13-3,8,05-06,"19,0115"
Sertão Pernambucano,14-3,8,05-06,"22,0815"
Sertão Pernambucano,15-3,8,05-06,"23,5549"
Sertão Pernambucano,16-3,8,05-06,"25,7881"
Fora do Estado,17-3,8,05-06,"29,3658"
Fora do Estado,18-3,8,05-06,"51,8510"
Agreste Pernambucano,21-3,8,05-06,"81,3781"
Agreste Pernambucano,22-3,8,05-06,"104,0665"
Agreste Pernambucano,23-3,8,05-06,"118,6240"
Agreste Pernambucano,24-3,8,05-06,"129,0748"
Mata Pernambucana,25-3,8,05-06,"141,1931"
Metropolitana do Recife,26-3,8,05-06,"143,1264"
Fora do Estado,1-4,8,05-06,"1,8638"
Fora do Estado,2-4,8,05-06,"3,4513"
Fora do Estado,3-4,8,05-06,"4,4931"
Sertão Pernambucano,4-4,8,05-06,"5,4759"
Sertão Pernambucano,5-4,8,05-06,"6,6049"
Sertão Pernambucano,7-4,8,05-06,"7,9779"
São Francisco Pernambucano,8-4,8,05-06,"11,1376"
Sertão Pernambucano,9-4,8,05-06,"12,7739"
Sertão Pernambucano,10-4,8,05-06,"12,2653"
Sertão Pernambucano,11-4,8,05-06,"17,4120"
Sertão Pernambucano,12-4,8,05-06,"16,3529"
Sertão Pernambucano,13-4,8,05-06,"19,1683"
Sertão Pernambucano,14-4,8,05-06,"27,3700"
Sertão Pernambucano,15-4,8,05-06,"31,1866"
Sertão Pernambucano,16-4,8,05-06,"37,9563"
Fora do Estado,17-4,8,05-06,"47,8267"
Fora do Estado,18-4,8,05-06,"62,6280"
Agreste Pernambucano,20-4,8,05-06,"84,0087"
Agreste Pernambucano,21-4,8,05-06,"96,7472"
Agreste Pernambucano,22-4,8,05-06,"115,4388"
Agreste Pernambucano,23-4,8,05-06,"128,1436"
Mata Pernambucana,24-4,8,05-06,"141,4579"
Metropolitana do Recife,25-4,8,05-06,"153,0437"
Fora do Estado,26-4,8,05-06,"158,1450"
Fora do Estado,1-5,8,05-06,"2,2564"
São Francisco Pernambucano,2-5,8,05-06,"4,0899"
São Francisco Pernambucano,3-5,8,05-06,"5,2710"
Sertão Pernambucano,4-5,8,05-06,"6,2872"
São Francisco Pernambucano,5-5,8,05-06,"7,4457"
São Francisco Pernambucano,6-5,8,05-06,"7,3921"
São Francisco Pernambucano,7-5,8,05-06,"8,7088"
São Francisco Pernambucano,8-5,8,05-06,"10,0837"
São Francisco Pernambucano,9-5,8,05-06,"11,7207"
São Francisco Pernambucano,10-5,8,05-06,"13,0569"
São Francisco Pernambucano,11-5,8,05-06,"14,8960"
São Francisco Pernambucano,12-5,8,05-06,"17,4101"
Sertão Pernambucano,13-5,8,05-06,"20,6499"
Sertão Pernambucano,14-5,8,05-06,"31,0921"
Sertão Pernambucano,15-5,8,05-06,"35,8828"
Sertão Pernambucano,16-5,8,05-06,"43,4048"
Sertão Pernambucano,17-5,8,05-06,"52,8758"
Agreste Pernambucano,18-5,8,05-06,"70,0750"
Agreste Pernambucano,20-5,8,05-06,"91,0825"
Agreste Pernambucano,22-5,8,05-06,"121,6438"
Agreste Pernambucano,23-5,8,05-06,"136,0721"
Mata Pernambucana,24-5,8,05-06,"147,9717"
Metropolitana do Recife,25-5,8,05-06,"160,3513"
Fora do Estado,26-5,8,05-06,"171,8680"
São Francisco Pernambucano,1-6,8,05-06,"2,7506"
São Francisco Pernambucano,2-6,8,05-06,"4,8597"
São Francisco Pernambucano,4-6,8,05-06,"7,3673"
São Francisco Pernambucano,5-6,8,05-06,"8,7273"
São Francisco Pernambucano,7-6,8,05-06,"9,9976"
Fora do Estado,8-6,8,05-06,"11,6072"
São Francisco Pernambucano,9-6,8,05-06,"13,5850"
São Francisco Pernambucano,10-6,8,05-06,"14,5471"
São Francisco Pernambucano,11-6,8,05-06,"16,5263"
São Francisco Pernambucano,12-6,8,05-06,"19,2281"
Sertão Pernambucano,14-6,8,05-06,"35,9508"
Sertão Pernambucano,15-6,8,05-06,"41,3294"
Agreste Pernambucano,16-6,8,05-06,"53,1107"
Agreste Pernambucano,17-6,8,05-06,"58,0490"
Agreste Pernambucano,19-6,8,05-06,"87,0980"
Agreste Pernambucano,20-6,8,05-06,"96,9373"
Mata Pernambucana,23-6,8,05-06,"138,2959"
Mata Pernambucana,24-6,8,05-06,"149,2601"
Fora do Estado,26-6,8,05-06,"172,6471"
Fora do Estado,1-7,8,05-06,"3,3353"
São Francisco Pernambucano,3-7,8,05-06,"7,1312"
São Francisco Pernambucano,5-7,8,05-06,"10,2919"
Fora do Estado,6-7,8,05-06,"10,0245"
Fora do Estado,8-7,8,05-06,"15,7694"
Fora do Estado,9-7,8,05-06,"21,6650"
Fora do Estado,10-7,8,05-06,"16,6550"
São Francisco Pernambucano,11-7,8,05-06,"18,9312"
São Francisco Pernambucano,13-7,8,05-06,"25,4169"
Sertão Pernambucano,14-7,8,05-06,"41,8118"
Sertão Pernambucano,15-7,8,05-06,"46,6975"
Agreste Pernambucano,19-7,8,05-06,"91,5462"
Agreste Pernambucano,20-7,8,05-06,"101,1694"
Agreste Pernambucano,21-7,8,05-06,"111,9167"
Mata Pernambucana,23-7,8,05-06,"139,4646"
Fora do Estado,24-7,8,05-06,"147,6139"
Fora do Estado,25-7,8,05-06,"156,6286"
Fora do Estado,1-8,8,05-06,"4,6460"
Fora do Estado,2-8,8,05-06,"8,6956"
São Francisco Pernambucano,3-8,8,05-06,"12,7324"
São Francisco Pernambucano,4-8,8,05-06,"11,9627"
Fora do Estado,5-8,8,05-06,"13,9777"
Fora do Estado,6-8,8,05-06,"15,5061"
Fora do Estado,7-8,8,05-06,"18,0509"
Fora do Estado,8-8,8,05-06,"21,1743"
Fora do Estado,9-8,8,05-06,"25,9525"
Fora do Estado,10-8,8,05-06,"29,9131"
Fora do Estado,11-8,8,05-06,"34,1947"
Fora do Estado,12-8,8,05-06,"42,8246"
Fora do Estado,14-8,8,05-06,"50,9234"
Fora do Estado,15-8,8,05-06,"55,5872"
Agreste Pernambucano,20-8,8,05-06,"101,9178"
Fora do Estado,21-8,8,05-06,"109,2692"
Fora do Estado,23-8,8,05-06,"128,5033"
Fora do Estado,24-8,8,05-06,"136,3488"
Fora do Estado,25-8,8,05-06,"152,2464"
Fora do Estado,26-8,8,05-06,"30,3600"
Fora do Estado,1-9,8,05-06,"21,0906"
Fora do Estado,2-9,8,05-06,"12,4890"
São Francisco Pernambucano,3-9,8,05-06,"13,2577"
Fora do Estado,7-9,8,05-06,"20,2301"
Fora do Estado,8-9,8,05-06,"23,7740"
Fora do Estado,11-9,8,05-06,"39,4300"
Fora do Estado,13-9,8,05-06,"51,8719"
Fora do Estado,14-9,8,05-06,"55,7210"
Fora do Estado,15-9,8,05-06,"60,8768"
Fora do Estado,18-9,8,05-06,"90,1849"
Fora do Estado,19-9,8,05-06,"99,3062"
Fora do Estado,20-9,8,05-06,"106,0482"
Fora do Estado,21-9,8,05-06,"111,9273"
Fora do Estado,23-9,8,05-06,"130,2969"
Fora do Estado,24-9,8,05-06,"133,0074"
Fora do Estado,25-9,8,05-06,"123,6600"
Fora do Estado,26-9,8,05-06,"29,9100"
Fora do Estado,3-1,8,05-06,"2,5300"
Sertão Pernambucano,4-1,8,05-06,"7,2806"
Agreste Pernambucano,20-3,8,05-06,"67,5284"
Fora do Estado,19-2,8,05-06,"53,9812"
Fora do Estado,19-3,8,05-06,"60,1315"
Agreste Pernambucano,19-4,8,05-06,"72,8851"
Agreste Pernambucano,19-5,8,05-06,"82,4740"
São Francisco Pernambucano,4-9,8,05-06,"15,7396"
Fora do Estado,5-9,8,05-06,"17,9525"
Fora do Estado,6-9,8,05-06,"20,2485"
Fora do Estado,9-9,8,05-06,"28,4041"
Fora do Estado,10-9,8,05-06,"35,9108"
Agreste Pernambucano,17-7,8,05-06,"62,9914"
Fora do Estado,16-8,8,05-06,"62,5952"
Fora do Estado,16-9,8,05-06,"68,0781"
Agreste Pernambucano,16-7,8,05-06,"53,7317"
Agreste Pernambucano,19-8,8,05-06,"94,2672"
Agreste Pernambucano,18-8,8,05-06,"84,2102"
Agreste Pernambucano,17-8,8,05-06,"71,6079"
Fora do Estado,17-9,8,05-06,"76,6729"
Agreste Pernambucano,18-6,8,05-06,"76,2376"
Agreste Pernambucano,18-7,8,05-06,"89,7711"
Agreste Pernambucano,21-5,8,05-06,"102,4730"
Agreste Pernambucano,21-6,8,05-06,"107,2990"
Agreste Pernambucano,22-6,8,05-06,"127,4913"
Fora do Estado,22-7,8,05-06,"129,0414"
Fora do Estado,22-8,8,05-06,"122,6267"
Fora do Estado,22-9,8,05-06,"122,2954"
Fora do Estado,2-2,8,05-06,"2,3462"
Fora do Estado,1-3,8,05-06,"2,0577"
